customer_id,customer_name,email,registration_date,customer_type
CUST0090,Charles Brown,brooke94@example.com,2023-11-25,REGULAR
CUST0091,Melissa Bender,,2026-03-12,VIP
CUST0092,Lindsey Johnson,suzannehuff@example.net,2025-04-15,VIP
CUST0093,Phillip Underwood,hinesgregory@example.net,2025-06-25,REGULAR
CUST0094,Catherine Richards,ecosta@example.com,2024-10-01,VIP
CUST0095,Brian Martin,ssteele@example.net,2026-05-12,VIP
CUST0096,Krista Gibson,johnny16@example.net,2026-01-01,REGULAR
CUST0097,Sean Murray,lopezmichael@example.com,2025-05-27,REGULAR
CUST0098,Christina Dunn,samuel71@example.org,2026-06-12,PREMIUM
CUST0099,Cynthia Moore,tranchristopher@example.org,2024-11-28,PREMIUM
CUST0100,Ronnie Jimenez,william46@example.com,2026-06-20,PREMIUM
CUST0101,Juan Reyes,michellehill@example.com,2024-07-18,VIP
CUST0102,Debra Smith,mary97@example.org,2024-11-12,VIP
CUST0103,Mr. Phillip Bennett,molly39@example.com,2024-03-23,VIP
CUST0104,Amanda Garner,qhughes@example.net,2026-06-20,REGULAR
CUST0105,Andrew Shaw MD,sawyerscottexample.net,2026-04-04,VIP
CUST0106,Charles Pitts,charlesharrington@example.com,2024-07-17,PREMIUM
CUST0107,Marie Christian,ofinley@example.net,2026-03-10,REGULAR
CUST0108,Joshua Williamson II,wendy16@example.org,2025-10-22,REGULAR
CUST0109,Ashlee Jackson,rebecca05@example.org,2024-05-28,REGULAR
CUST0110,Charles Schmidt,georgemiller@example.com,2025-05-21,PREMIUM
CUST0111,Thomas Thomas,dlittle@example.com,2025-07-11,PREMIUM
CUST0112,Julie Roberts,charleslandry@example.net,2024-06-03,PREMIUM
CUST0113,Melissa Bryant,james67@example.org,2024-03-27,REGULAR
CUST0114,Laura Haney,andrew64@example.org,2025-03-23,REGULAR
CUST0115,Natasha Williams,swall@example.org,2025-05-07,VIP
CUST0116,Mark Oliver,courtneyberger@example.net,2023-08-24,VIP
CUST0117,Amanda Diaz,christopherphillips@example.net,2024-10-09,PREMIUM
CUST0118,Richard Walter,alyssa42@example.com,2026-04-08,REGULAR
CUST0119,Tracy Phillips,linda71@example.org,2025-10-15,VIP
CUST0120,Michael Craig,zcoffey@example.net,2024-08-15,PREMIUM
CUST0121,Alexis Herrera,vrichardson@example.net,2024-04-24,PREMIUM
CUST0122,Mark Watson,thomasharvey@example.net,2024-07-05,VIP
CUST0123,Maria Reid,tblankenship@example.net,2024-10-01,PREMIUM
CUST0124,Tracy Torres,pwilson@example.net,2023-12-07,REGULAR
CUST0125,Michael Paul,umatthewsexample.org,2026-03-08,PREMIUM
CUST0126,Sandra Gilbert,antonio53@example.com,2024-11-10,REGULAR
CUST0127,Jack Pollard,amy50@example.com,2024-05-09,REGULAR
CUST0128,Tiffany Holloway,batesdarlene@example.net,2026-06-10,VIP
CUST0129,Gavin Zhang,caseyhubbard@example.org,2025-04-14,VIP
CUST0130,Crystal Schroeder,ramireztracey@example.org,2025-02-23,VIP
CUST0131,Ashley Delacruz,alexistyler@example.org,2025-04-17,PREMIUM
CUST0132,Derek Martinez,vfox@example.org,2024-12-14,VIP
CUST0133,Kayla Rodriguez,soniawilliams@example.net,2025-02-02,VIP
CUST0134,Victor Brown,bboone@example.net,2023-11-07,PREMIUM
CUST0135,Jill Lam,charlene12@example.com,2025-05-26,VIP
CUST0136,Michelle James,shawn96@example.org,2025-11-27,PREMIUM
CUST0137,Matthew Rich,russellbeasley@example.com,2024-07-17,PREMIUM
CUST0138,Jason Davis,qedwards@example.com,2026-05-22,REGULAR
CUST0139,Kara Davis,daviscolin@example.net,2024-08-23,REGULAR
CUST0140,Anthony Frye,elizabeth65@example.net,2026-05-08,VIP
CUST0141,Thomas Williams,caroline51@example.net,2025-01-18,PREMIUM
CUST0142,John Boone,megan51@example.com,2025-04-01,REGULAR
CUST0143,Sarah Villegas,lynchdiane@example.net,2024-04-30,REGULAR
CUST0144,Michael Parker,michael22@example.net,2025-07-01,REGULAR
CUST0145,Patrick Bonilla,reesejason@example.com,2024-11-20,REGULAR
CUST0146,Eric Nguyen,wareeric@example.net,2023-09-04,VIP
CUST0147,Jeremy Coleman,nperry@example.net,2023-11-13,REGULAR
CUST0148,Douglas Gregory,trose@example.org,2024-03-09,VIP
CUST0149,Mrs. Christine Dougherty,kathrynroberts@example.org,2023-07-20,PREMIUM
CUST0150,Casey James,vincentwhitaker@example.com,2023-09-28,VIP
CUST0151,Amanda Smith,atkinsbarbara@example.net,2024-09-27,REGULAR
CUST0152,Donna Sullivan,george97@example.net,2026-04-15,PREMIUM
CUST0153,Ryan Sanchez,zwarren@example.com,2025-10-06,PREMIUM
CUST0154,Richard Jones,schmidtjames@example.com,2024-07-30,VIP
CUST0155,Maria Hernandez,thomasjames@example.net,2023-12-26,PREMIUM
CUST0156,Angela Bean,kmarshallexample.net,2024-11-15,VIP
CUST0157,Kristy Reid,michelle52@example.com,2023-09-24,PREMIUM
CUST0158,Eric Hill,bellcharles@example.com,2024-11-18,VIP
CUST0159,Ronald Jones,gilbertwilliam@example.com,2025-04-08,REGULAR
CUST0160,Nancy Williams,marcalvarez@example.org,2026-05-26,VIP
CUST0161,Robert Monroe,wagnergerald@example.org,2025-08-25,VIP
CUST0162,Kelly Bishop MD,paul59@example.org,2025-11-22,REGULAR
CUST0163,Andrea Davis,umitchell@example.net,2026-06-02,VIP
CUST0164,Brittany Miller,sabrinacollins@example.net,2025-08-15,VIP
CUST0165,Kurt Hurley,angelica52@example.net,2025-08-20,PREMIUM
CUST0166,Yolanda Gaines,lucasrodney@example.com,2023-07-31,VIP
CUST0167,Trevor Peterson,ilee@example.org,2023-10-04,PREMIUM
CUST0168,Ashley Wise,stanleynancy@example.net,2023-12-02,REGULAR
CUST0169,Christopher Guerra,jenniferwilliams@example.com,2025-07-22,PREMIUM
CUST0170,Jeremy Mitchell,pyoung@example.com,2026-06-04,PREMIUM
CUST0171,Stephanie Lee,smurray@example.com,2025-01-13,REGULAR
CUST0172,Christopher Gonzalez,moniquewilliams@example.com,2026-02-24,PREMIUM
CUST0173,Ashley Singleton,mitchellkathryn@example.com,2024-11-15,REGULAR
CUST0174,Sandra Davis,lisawilkerson@example.org,2024-10-08,VIP
CUST0175,James Hughes,brooksanthony@example.org,2026-01-16,VIP
CUST0176,Raven Taylor,samantha72@example.net,2024-12-07,PREMIUM
CUST0177,Susan Smith,marydunn@example.net,2025-05-09,VIP
CUST0178,Ricardo Young,williamsrobert@example.net,2024-11-23,REGULAR
CUST0179,Taylor Carlson,chenbailey@example.net,2023-12-16,VIP
CUST0180,Lucas Allen,qlopez@example.org,2025-02-04,REGULAR
CUST0181,Troy Stephens,myerstheodore@example.net,2024-09-08,VIP
CUST0182,Paul Kelly,cooperjessica@example.net,2023-11-02,PREMIUM
CUST0183,Nicole Anderson,amy27@example.net,2024-12-17,VIP
CUST0184,Chad Baldwin,mjohnson@example.org,2025-11-25,VIP
CUST0185,Emily Collins,ihays@example.com,2024-04-14,VIP
CUST0186,Cheryl Kelly,glennmartin@example.org,2025-12-04,REGULAR
CUST0187,James Gonzales,lmorgan@example.com,2025-08-08,REGULAR
CUST0188,Robert Adams,acostachristian@example.net,2026-07-06,PREMIUM
CUST0189,Edward Garcia,donna47@example.net,2025-09-05,REGULAR
CUST0190,Jeremy West,christina64@example.net,2026-06-20,VIP
CUST0191,Angela Walsh,william20@example.org,2026-01-27,VIP
CUST0192,Jessica Martinez,kimberlydiaz@example.com,2026-05-17,REGULAR
CUST0193,Christian Cole,nathan19@example.org,2025-02-11,VIP
CUST0194,Matthew Wright,johnsonjacob@example.net,2024-09-08,PREMIUM
CUST0195,Deborah Green,nlewis@example.com,2025-08-10,PREMIUM
CUST0196,Mrs. Brandy Jones MD,zosborn@example.net,2026-06-06,REGULAR
CUST0197,Miss Michelle Pierce,patricia22@example.com,2025-01-19,REGULAR
CUST0198,Curtis Taylor,jjohnson@example.net,2024-08-19,PREMIUM
CUST0199,Kristen Salazar,jonesraymond@example.net,2025-09-06,PREMIUM
CUST0200,Patricia Morrow,martinezlogan@example.org,2024-11-16,REGULAR
CUST0201,Haley Humphrey,katrinaanderson@example.net,2026-04-05,REGULAR
CUST0202,Caleb Hernandez,fernandodonovan@example.org,2024-07-25,REGULAR
CUST0203,Stephanie Singleton,james84@example.org,2025-05-27,VIP
CUST0204,Anna Davidson,georgeweber@example.net,2024-07-16,REGULAR
CUST0205,Amanda Shields,williamsdarlene@example.net,2024-04-27,REGULAR
CUST0206,Kenneth Montgomery,jimenezcourtney@example.com,2025-06-14,VIP
CUST0207,David Aguirre,eevans@example.net,2023-09-15,PREMIUM
CUST0208,John Harris,larryhiggins@example.net,2026-06-28,REGULAR
CUST0209,James Hodges,floressteven@example.com,2024-11-15,VIP
CUST0210,Anthony Dougherty,kwright@example.com,2026-04-30,REGULAR
CUST0211,Cheryl Moore,tjimenez@example.com,2023-08-06,REGULAR
CUST0212,Kathy Levy,brandywilliams@example.com,2025-01-04,VIP
CUST0213,Martha Ruiz,booneryan@example.com,2025-09-16,PREMIUM
CUST0214,Holly Morales,michaelroberts@example.com,2025-01-14,VIP
CUST0215,Diana Hays,andersoncolin@example.com,2025-11-29,REGULAR
CUST0216,Todd Fischer,carriemorales@example.org,2023-08-30,PREMIUM
CUST0217,Gary Wells,ghernandez@example.org,2024-07-05,VIP
CUST0218,Carla Ewing,brittney88@example.net,2024-12-29,VIP
CUST0219,Karen Smith,emily69@example.com,2025-12-01,PREMIUM
CUST0220,Melissa Johnson,pbaker@example.net,2025-04-05,REGULAR
CUST0221,Lauren Jackson,rhernandez@example.org,2023-08-15,VIP
CUST0222,Ashley Smith,robert63@example.com,2025-01-11,VIP
CUST0223,Kaitlyn Charles,thorntonapril@example.net,2024-07-02,VIP
CUST0224,Kelly Edwards,stevepatel@example.net,2024-08-03,REGULAR
CUST0225,Michelle Schneider,chelsea33@example.com,2025-03-14,VIP
CUST0226,William Evans,janet75@example.com,2024-07-28,PREMIUM
CUST0227,Rebecca Hill,berryamy@example.com,2025-12-24,PREMIUM
CUST0228,Regina Roberts,stephanie15@example.com,2025-06-29,VIP
CUST0229,Cindy Clayton,sarah42@example.org,2025-05-16,VIP
CUST0230,Dana Santiago,danawilliams@example.com,2024-07-08,PREMIUM
CUST0231,Michael Taylor,richarddonovan@example.com,2024-12-16,PREMIUM
CUST0232,Victor Morris,velezchristopher@example.net,2024-03-22,VIP
CUST0233,Sarah Johnson,robertmonroe@example.org,2026-07-08,PREMIUM
CUST0234,Jon Zuniga,nancy04@example.net,2025-05-02,REGULAR
CUST0235,Frances Gibson,ismall@example.net,2024-12-05,REGULAR
CUST0236,Brian Martin,twong@example.org,2023-07-27,REGULAR
CUST0237,Edward Craig,gregorychase@example.com,2026-01-03,REGULAR
CUST0238,Angie Caldwell,tinawoods@example.org,2023-07-19,PREMIUM
CUST0239,Jeremy Adams,kevin90@example.com,2025-06-27,REGULAR
CUST0240,Amy Wilson,erik84@example.net,2023-11-17,VIP
CUST0241,Elizabeth Mendez,susanmendoza@example.com,2025-10-08,VIP
CUST0242,Jennifer Dunn,ztodd@example.net,2026-01-01,REGULAR
CUST0243,Melanie Larson,foxallison@example.com,2023-10-05,VIP
CUST0244,Amy Kelley,ashleyhernandez@example.com,2026-02-02,REGULAR
CUST0245,Michael Love,gdavis@example.com,2025-12-14,REGULAR
CUST0246,Jose Bryant,hansenemily@example.com,2025-09-11,REGULAR
CUST0247,Robert Reese,williamsmelvin@example.org,2025-02-24,VIP
CUST0248,Steven Andersen,ajohnson@example.org,2025-10-31,VIP
CUST0249,Veronica Brewer,ybrooks@example.com,2026-02-19,REGULAR
CUST0250,Jaime Vega,,2026-07-04,REGULAR
CUST0251,Cameron Irwin,avilatiffany@example.com,2025-07-19,REGULAR
CUST0252,Kim Morrow,stevenmoore@example.org,2026-05-04,REGULAR
CUST0253,Ashley Pacheco,bmendez@example.org,2024-02-22,PREMIUM
CUST0254,Andrew Harper,sanchezbradley@example.com,2024-03-24,REGULAR
CUST0255,Scott Brown,jim95@example.net,2025-04-27,VIP
CUST0256,Erica Turner,valerieboyd@example.com,2024-06-05,REGULAR
CUST0257,Travis Hobbs,conniesimmons@example.com,2023-09-01,PREMIUM
CUST0258,Mason James,heather62@example.com,2024-08-27,VIP
CUST0259,Kara Atkinson,meredith27@example.org,2025-03-19,PREMIUM
CUST0260,Kristin Anderson,jonathanrivera@example.org,2026-04-17,REGULAR
CUST0261,Anna Hardy,brettbennett@example.net,2025-05-02,VIP
CUST0262,Chelsea Gill,timothybooth@example.com,2024-06-08,REGULAR
CUST0263,Christy Lee,burgesskaren@example.org,2025-08-12,VIP
CUST0264,Jennifer Allen,kimberly67@example.net,2025-06-21,VIP
CUST0265,Ian Andrade,ugarcia@example.com,2025-10-23,VIP
CUST0266,Dale Edwards,hartjeffrey@example.org,2023-07-29,PREMIUM
CUST0267,Lauren Cortez,elijah53@example.com,2025-03-27,REGULAR
CUST0268,Juan Harding,jonathan77@example.com,2024-01-12,PREMIUM
CUST0269,Caroline Cortez,iwhite@example.net,2026-05-26,PREMIUM
CUST0270,Sara Jones,duranrobert@example.net,2024-03-21,REGULAR
CUST0271,Alexa Wagner,bruce97@example.net,2024-12-27,REGULAR
CUST0272,Juan Smith,amanda40@example.net,2025-12-19,REGULAR
CUST0273,Renee Browning,hullalice@example.org,2024-02-07,VIP
CUST0274,Robin Adams,zmiller@example.com,2025-03-22,PREMIUM
CUST0275,Courtney Sutton DVM,davisnicholas@example.net,2024-12-14,PREMIUM
CUST0276,Michele Miller,vnewman@example.net,2026-06-17,PREMIUM
CUST0277,Stephanie Ellison,jasonparrish@example.net,2024-12-14,PREMIUM
CUST0278,Benjamin Frost,whitemelissa@example.org,2026-05-30,PREMIUM
CUST0279,Nicole Marquez,thickman@example.org,2025-03-21,VIP
CUST0280,Sarah Rhodes,patrick21@example.net,2025-10-06,REGULAR
CUST0281,Brent Hall,petersonkayla@example.net,2024-09-18,VIP
CUST0282,Alyssa Nelson,whenry@example.net,2026-05-08,VIP
CUST0283,Michael Guerrero,bartonkenneth@example.org,2025-08-31,VIP
CUST0284,Christian Dawson,jodistewart@example.org,2023-10-20,REGULAR
CUST0285,Jill Juarez,andersonjacob@example.com,2025-03-13,REGULAR
CUST0286,Ashley Davis,carlsonkristen@example.com,2023-07-25,PREMIUM
CUST0287,Richard Hardy,ashleyjackson@example.com,2024-01-13,VIP
CUST0288,Derrick Thomas,ryanfisher@example.com,2025-11-15,PREMIUM
CUST0289,Tony Le,mwheeler@example.com,2023-11-06,REGULAR
CUST0290,Travis Cook,vbrock@example.com,2024-07-12,REGULAR
CUST0291,Shannon Mccann,kevinmorrison@example.net,2024-02-17,REGULAR
CUST0292,Vincent Novak,jessica79@example.org,2024-07-03,REGULAR
CUST0293,Richard Diaz,brittanygardner@example.net,2025-10-30,VIP
CUST0294,Nicholas Hahn,samuelcarter@example.net,2023-09-25,PREMIUM
CUST0295,Rebecca Chambers,cynthiaallen@example.net,2023-12-27,REGULAR
CUST0296,James Cole,iaguilar@example.net,2026-04-19,PREMIUM
CUST0297,Jennifer Johnson,jacqueline89@example.net,2026-04-09,REGULAR
CUST0298,David Ortega,deborahwilliams@example.net,2025-07-23,PREMIUM
CUST0299,Paul Sheppard,grodriguez@example.com,2024-03-11,PREMIUM
CUST0300,Kristin Watts,seanmyers@example.net,2025-04-17,REGULAR
CUST0301,Haley Johnson,phillipssamantha@example.org,2023-11-16,REGULAR
CUST0302,Brenda Collins,hmueller@example.com,2024-07-27,PREMIUM
CUST0303,Nathan Chavez,evanslisa@example.org,2023-08-05,VIP
CUST0304,Brian Marsh,zacharyarnold@example.com,2025-03-16,REGULAR
CUST0305,Crystal Sullivan,,2023-08-12,REGULAR
CUST0306,Christina Vargas,nsmith@example.org,2024-05-12,VIP
CUST0307,Rebecca Ray,michaelgonzalez@example.org,2024-04-24,VIP
CUST0308,Kelsey Fowler,lcarr@example.org,2024-07-27,REGULAR
CUST0309,Lisa Cervantes,samantha91@example.net,2023-12-05,REGULAR
CUST0310,Eric White,williambarnes@example.org,2025-04-01,REGULAR
CUST0311,John Medina,,2024-02-02,REGULAR
CUST0312,Lisa Glenn,washingtonjames@example.com,2026-06-02,PREMIUM
CUST0313,Kathleen Cohen,cmckinney@example.com,2024-01-11,PREMIUM
CUST0314,Rebecca Walker,hillamanda@example.org,2025-11-13,PREMIUM
CUST0315,Patricia Simpson,armstrongjoseph@example.net,2025-12-30,REGULAR
CUST0316,Rodney Williams,bpayne@example.org,2025-09-25,PREMIUM
CUST0317,Danielle Golden,colemichael@example.org,2024-11-04,REGULAR
CUST0318,Patricia Young PhD,michelle96@example.org,2025-05-17,REGULAR
CUST0319,Robin Trujillo,amanda98@example.org,2024-06-30,PREMIUM
CUST0320,Donna Adams,taylorkaren@example.com,2026-04-13,REGULAR
CUST0321,Sharon Martinez DVM,dustinmorris@example.org,2025-10-23,PREMIUM
CUST0322,Katherine Ray,courtney67@example.org,2025-06-05,PREMIUM
CUST0323,Anna Robertson,heather57@example.com,2024-07-04,PREMIUM
CUST0324,Raymond Oconnor,sreid@example.com,2026-01-28,PREMIUM
CUST0325,Jennifer Donaldson,troymorris@example.com,2024-07-16,PREMIUM
CUST0326,Kylie Washington,patricia00@example.org,2025-05-28,VIP
CUST0327,Alexis Noble,scottsmith@example.com,2024-02-18,VIP
CUST0328,Bonnie Santos,nancymcdowell@example.org,2025-06-28,VIP
CUST0329,Jacob Mckee,brettgarrett@example.net,2025-08-16,VIP
CUST0330,Matthew Padilla,lewischristian@example.net,2024-03-15,VIP
CUST0331,Alexandra Dominguez,mcneilrobert@example.org,2024-12-16,PREMIUM
CUST0332,Brandon Shaffer,edwardsnicole@example.org,2024-09-03,REGULAR
CUST0333,Shelly May,caseyelliott@example.net,2025-06-23,REGULAR
CUST0334,Nathan Fuller,samanthajensen@example.com,2026-02-08,PREMIUM
CUST0335,Brian Goodwin,bbell@example.com,2025-11-25,REGULAR
CUST0336,Matthew Wright,kimberly04@example.org,2025-01-29,REGULAR
CUST0337,Nicole Phillips,bowerslaura@example.org,2025-01-04,VIP
CUST0338,Jonathan Wheeler,hatfieldsarah@example.org,2024-09-07,VIP
CUST0339,Jennifer Payne,kathrynbest@example.org,2023-07-30,VIP
CUST0340,Dennis Williams,fryraymond@example.com,2025-05-30,REGULAR
CUST0341,Jennifer Miles,,2024-05-11,VIP
CUST0342,Jorge Harris,amandamyers@example.net,2025-10-25,PREMIUM
CUST0343,Maria Collins,pblair@example.org,2024-04-04,REGULAR
CUST0344,Audrey Salazar,parkerjudith@example.net,2024-01-20,REGULAR
CUST0345,Chad Smith,hbenton@example.net,2025-11-16,VIP
CUST0346,Carol Martinez,jessica10@example.com,2025-12-12,PREMIUM
CUST0347,Austin Joseph,crawfordwilliam@example.org,2025-01-09,VIP
CUST0348,Holly Scott,shannonemily@example.org,2024-03-18,VIP
CUST0349,Amanda Roy,brandoncox@example.org,2024-01-24,REGULAR
CUST0350,Amanda Pratt,pwalker@example.com,2026-04-10,REGULAR
CUST0351,Roger Duncan,shawrachel@example.org,2024-03-12,VIP
CUST0352,Amber Morales,xcline@example.com,2024-07-04,REGULAR
CUST0353,Aimee Gonzalez,jodi37@example.com,2025-04-20,REGULAR
CUST0354,Raymond Gonzalez DVM,edwardrandolph@example.org,2024-03-23,REGULAR
CUST0355,Ryan Wiley,aaron64@example.org,2024-02-21,VIP
CUST0356,Mrs. Tonya Kaufman,jenniferdavis@example.org,2026-03-21,REGULAR
CUST0357,Mercedes Watson,carpenterwilliam@example.net,2025-12-26,VIP
CUST0358,Keith Graham,joelgreen@example.com,2026-04-21,REGULAR
CUST0359,Ronnie Nguyen,enelson@example.org,2023-12-08,PREMIUM
CUST0360,Ashley Garcia,aowens@example.org,2025-02-18,REGULAR
CUST0361,Christine Parker,melissa12@example.net,2024-06-09,VIP
CUST0362,Lindsey Lewis,eddie35example.com,2025-01-24,REGULAR
CUST0363,Debbie Ewing,cranemelissa@example.net,2025-10-08,VIP
CUST0364,Joel Lara,davidbrown@example.org,2023-12-02,VIP
CUST0365,Jacqueline Mccoy,aguilarjonathan@example.org,2023-08-04,REGULAR
CUST0366,Steven Ramos,christopherboone@example.com,2023-11-23,VIP
CUST0367,Amber Glass,zunderwood@example.com,2023-08-13,REGULAR
CUST0368,Carrie Lewis,joshuagriffin@example.org,2023-08-18,PREMIUM
CUST0369,Danielle Phillips,eandrade@example.org,2023-10-16,VIP
CUST0370,Jason Day,crystalpham@example.org,2026-06-30,VIP
CUST0371,Heather Stephens,kcooper@example.net,2024-06-28,VIP
CUST0372,Alexander Harper,huangkimberly@example.org,2025-12-14,VIP
CUST0373,Hunter Silva,terrigarcia@example.net,2024-04-01,PREMIUM
CUST0374,Raven Mclaughlin,barbaramcgrath@example.com,2024-08-03,PREMIUM
CUST0375,Sarah Thompson,linda59example.org,2025-08-20,REGULAR
CUST0376,Keith Thomas,marycochran@example.com,2025-02-25,VIP
CUST0377,Andrew Brown,andrewwoods@example.com,2026-04-13,VIP
CUST0378,Carlos Love,brian29example.net,2026-04-12,PREMIUM
CUST0379,Sarah Valencia,brookssheri@example.com,2025-04-14,REGULAR
